model,metric,TK_DA,TK_IM,KS_DA,KS_IM
WeeklyNaive,rRMSE,1.0,1.0,1.0,1.0
LEAR,rRMSE,,,,
DDNN-Normal,rRMSE,,,,
DDNN-JSU,rRMSE,,,,
N-HiTS,rRMSE,1.0457909785291828,0.8612580814644429,0.8978152569041277,0.8728469989729758
PatchTST,rRMSE,1.0303884531077436,0.8088557354645073,1.1158737530866982,0.8805001547283027
iTransformer,rRMSE,0.7365441589081394,0.7555117751480529,0.7234733722393041,0.7514457235270737
Chronos,rRMSE,0.7480002163885976,0.7474394577583482,0.732399662296744,0.7465161917967291
TimesFM,rRMSE,9.181782149328255,5.303728697368559,9.685909491571724,6.545436950945502
QRA-rolling,rRMSE,,,,
DDNN-Normal,CRPS,2.4659460047770274,3.0024182948066955,2.876257577753589,3.0105413554981215
DDNN-JSU,CRPS,1.6070182997320468,2.171481055822675,1.9079654012482914,2.1485506432792674
QRA-rolling,CRPS,1.2285792923028322,1.9471621905918595,1.591613968527205,1.9081571320808108
LEAR+cf,CRPS,,,,
Chronos,CRPS,1.1223627882950413,1.954871590677082,1.3385228141536056,1.8189931525832073
TimesFM,CRPS,10.394117029621773,10.551550524777758,13.693185526057688,11.739177240621041
DDNN-Normal,coverage_90,0.966450364298725,0.9499445013661202,0.9394310678506376,0.9333148337887067
DDNN-JSU,coverage_90,0.9135900500910746,0.9236054189435337,0.9227444785974499,0.9105461634790528
QRA-rolling,coverage_90,0.8972666343669251,0.9179263565891473,0.8935339954780361,0.8925912467700259
LEAR+cf,coverage_90,,,,
Chronos,coverage_90,0.8374117714025501,0.8574567395264117,0.8458931010928962,0.8591316598360655
TimesFM,coverage_90,0.8369677823315118,0.9163720969945355,0.8275187841530055,0.8958532559198543
DDNN-Normal,winkler_90,22.460449812206463,28.604197013077336,22.729179926314277,24.89749953536148
DDNN-JSU,winkler_90,15.579911238406947,23.5521624989323,17.749487732471106,20.593221582605224
QRA-rolling,winkler_90,14.032897733465196,23.105457443564898,16.169958954356805,20.329338138294684
LEAR+cf,winkler_90,,,,
Chronos,winkler_90,12.678647503188744,22.864947977212545,14.727978053348844,19.745224670588918
TimesFM,winkler_90,136.7248345232613,124.11360308772204,175.7025588370107,138.398377425678
